cliente,cod_cliente,mes,articulo,descripcion,m2,ingresos,cv_pintura,cv_quimicos,cv_mod,cmg,cmg_por_m2
AXEL,10000,4,000013,CARACOL SECARROPA BLANCO,201.6,592008.9927730624,201355.65304276248,22155.141333811458,43129.797610777416,325368.40078571107,1613.930559452932
AXEL,10000,4,000017,FRENTE HORNO 30 NEGRO,476.0,1397799.0107141754,475423.0696843003,52310.75037149928,101834.24435878001,768230.9462995959,1613.9305594529326
AXEL,10000,4,000019,FRENTE HORNO 45 NEGRO,478.26,1404435.619462524,477680.33047733916,52559.1165392295,102317.74308199606,771878.4293639592,1613.930559452932
AXEL,10000,4,000421,CONJUNTO PURIFICADOR BLANCO,3323.28,9758986.336819757,3319252.0567656336,365216.9548205801,710974.1756148034,5363543.14961874,1613.930559452932
AXEL,10000,4,000426,FRENTE HORNO 60 NEGRO,295.96,869102.090779343,295601.28509194433,32524.97831922043,63316.9389924885,477658.8883756897,1613.930559452932
AXEL,10000,4,000511,CONJUNTO PURIFICADOR NEGRO,1132.77,3326438.62471995,1131397.0391728673,124487.49726538494,242341.96845020005,1828212.1198314975,1613.930559452932
AXEL,10000,4,000550,CONJUNTO PURIFICADOR MARRON,10.98,32243.34692781858,10966.6918175076,1206.6639476450885,2349.0336198726986,17720.957542793196,1613.9305594529321
AXEL,10000,4,000553,CONJUNTO PURIFICADOR PLATIL,1130.94,3321064.733565314,1129569.2572032828,124286.38660744412,241950.46284688797,1825258.6269076993,1613.9305594529321
AXEL,10000,4,000576,CONJUNTO CAÑO ESTUFA EXTERIOR,34.2,100430.09698828739,34158.548284040065,3758.461476271587,7316.662094685455,55196.425133290286,1613.9305594529321
DANES SRL,10016,4,000306,SOPORTE GUARDABARRO PARA TANQUE Y TOLVA (GRAFITO),11.0,187272.56842105262,10986.667576738031,1208.8618783329664,2353.3123696356724,172723.72659634595,15702.156963304178
DANES SRL,10016,4,000307,SOPORTE MATAFUEGOS DOBLE (GRAFITO),9.75,165991.59473684212,9738.182624835983,1071.4912103405838,2085.8905094498004,153096.03039221576,15702.15696330418
DANES SRL,10016,4,000338,SOPORTE MATAFUEGO DOBLE ESTRELLITA,3.0,51074.336842105266,2996.363884564918,329.68960318171816,641.8124644460926,47106.47088991254,15702.15696330418
FRIC ROT,10001,4,000041,VAINA T2U15001,132.0,722979.4797441364,131840.01092085638,14506.342539995598,28239.74843562807,548393.3778476565,4154.49528672467
FRIC ROT,10001,4,000042,VAINA T2U15002,1035.0,5668816.375266525,1033745.5401748966,113742.91309769276,221425.30023390191,4299902.621760034,4154.49528672467
FRIC ROT,10001,4,000045,VAINA T2U14005,240.0,1314508.144989339,239709.1107651934,26375.16825453745,51344.99715568739,997078.8688139206,4154.495286724669
INDUSTRIAS BONO,10002,4,000348,CHAPA FORRO GONDOLA METALICA CH26 DE 115,663.09,1662484.2745593577,662286.3094053839,72871.29299125516,141859.80901651984,785466.8631461988,1184.555434626067
INDUSTRIAS BONO,10002,4,000353,ESTANTE 3022 CARGA 90 KG,313.6,786250.8385012812,313219.90473318606,34463.55318592893,67090.79628343154,371476.5842987347,1184.5554346260674
INDUSTRIAS BONO,10002,4,000360,MENSULA 30 CM/18,236.88,593900.1869393606,236592.8923252459,26032.29106722846,50677.51219266346,280597.49135422276,1184.5554346260672
JAIME,10013,4,000084,"MENSULAS 0,43 A 0,53 M DE LARGO",255.92,746400.0,255609.8151126179,28124.721082088432,54750.88196701466,407914.58183827903,1593.914433566267
JORGE MANES S.A.,10031,4,000481,METROS CUADRADOS NEGRO,30.0,300000.0,29963.638845649177,3296.896031817181,6418.124644460924,260321.3404780727,8677.378015935758
JOSE CAPOBIANCO SRL,10045,4,000591,TECHO COLONIAL (BLANCO BRILLANTE),24.0,118198.43519999999,23970.911076519344,2637.5168254537452,5134.499715568741,86455.50758245816,3602.3128159357566
JOSE CAPOBIANCO SRL,10045,4,000592,CAÑO FAROLA CALLE (BLANCO BRILLANTE),14.04,69146.084592,14022.982979763814,1542.9473428904407,3003.6823336077127,50576.47193573803,3602.3128159357575
JOSE CAPOBIANCO SRL,10045,4,000593,BARZO FUNDICION (BLANCO BRILLANTE),3.0,14774.804399999999,2996.363884564918,329.68960318171816,641.8124644460926,10806.93844780727,3602.3128159357566
JOSE CAPOBIANCO SRL,10045,4,000607,ESCOLAR 25 (BLANCO BRILLANTE),8.96,44127.415808000005,8949.140135233889,984.6729481693982,1916.8798938123298,32276.72283078439,3602.3128159357575
MENGARELLI RUBEN JOSE,10040,4,000584,DISTANCIADORES (AZUL),50.4,391222.7586206896,50338.91326069062,5538.7853334528645,10782.449402694354,324562.61062385177,6439.734337774837
MENGARELLI RUBEN JOSE,10040,4,000585,PLACA DE APOYO BASTIDOR 120 MM (AZUL),1.44,11177.793103448275,1438.2546645911605,158.25100952722468,308.06998293412437,9273.217446395765,6439.7343377748375
MENGARELLI RUBEN JOSE,10040,4,000587,COLUMNA CONFOR 120 MM X 8.30 MTS (AZUL) S/PINTURA,115.2,894223.4482758621,115060.37316729284,12660.080762177975,24645.59863472995,741857.3957116614,6439.734337774838
METALLO SA,10003,4,000588,CONJUNTO HABITACIONAL,825.0,9903879.03,824000.0682553524,90664.64087497248,176498.42772267543,8812715.893147,10682.079870481211
PULPEIRO,10015,4,000069,LL R-20 ESPECIALES P01,42.45,53509.89220123204,42398.54896659359,4665.107885021312,9081.64637191221,-2635.4110222950703,-62.0827095947013
PULPEIRO,10015,4,000070,LL R-26/7/8/9 ESPECIALES P02,1768.8,2229641.868681725,1766656.1463394756,194384.990035941,378412.62903741613,-109811.89673110767,-62.082709594701306
PULPEIRO,10015,4,000072,LL R-24/26 ECONOMICA P04,15.0,18908.089117043124,14981.819422824588,1648.4480159085906,3209.062322230462,-931.240643920517,-62.08270959470113
